,star_ra_deg,star_dec_deg,star_distance_pc,star_radius_solar,star_teff_k,planet_orbit_semi_major_axis_au,planet_orbit_eccentricity,planet_orbit_inclination_deg,planet_radius_earth,planet_equilibrium_temp_k,planet_orbital_period_days,star_luminosity_solar,ra_rad,dec_rad,star_cartesian_x,star_cartesian_y,star_cartesian_z,star_habitable_zone_inner_au,star_habitable_zone_outer_au
0,185.1787793,17.7932516,93.1846,13.76,4874.0,1.178,0.238,,12.2,,323.21,1.978,3.2319794036089204,0.3105508250557491,-88.36495785761475,-8.008843366098171,28.475644468901386,1.3409630189463906,1.931858036113967
1,229.2745954,71.8239428,125.321,29.79,4213.0,1.53,0.08,,12.3,,516.21997,2.43,4.0015965809078455,1.253564283624075,-25.505211604415894,-29.625963254448497,119.06779381201297,1.4863010829205867,2.141239281438989
2,352.82415,39.2358367,75.4392,11.55,4888.0,0.775,0.0,,13.1,,186.76,1.84,6.1579430980503505,0.6847945351898267,57.97369156207769,-7.298956031050023,47.71634126965185,1.2933395813657265,1.8632493427363788
3,242.6021014,43.8163621,17.9323,0.93,5338.0,2.774,0.373,144.652,12.6,,1765.0389,-0.153,4.234205441687145,0.7647397848910569,-5.954230683777855,-11.487906661216746,12.415414644607335,,
4,295.4656422,50.5168243,21.1397,1.13,5750.0,1.66,0.68,,13.5,,798.5,0.097,5.156848282909502,0.8816849116864798,5.779530077610701,-12.135759682119696,16.31585992553967,0.2969542358374741,0.42780704520207274
5,243.4620874,-11.8377905,124.953,25.92,4157.0,1.45,0.06,,12.9,,578.38,2.254,4.249215028908201,-0.2066084203863058,-54.640409763216894,-109.410346445,-25.633063037663355,1.4314646028075262,2.062239120150533
6,314.6078375,10.8391378,76.222,8.8,4980.0,2.476,0.024,,12.5,,982.85,1.634,5.490942616954286,0.1891786426873746,52.57196068038417,-53.2965921462026,14.333718980832383,1.2187922486849616,1.7558527466517595
7,242.3762343,-21.0831403,139.135,1.31,4060.0,330.0,,,18.647,1700.0,,-0.37,4.2302633171202135,-0.36797021489490506,-60.19337357234731,-115.02307500970463,-50.04995722567302,,
8,217.1555242,49.8446488,95.9863,12.19,4816.0,0.194,0.032,,13.9,,30.33,1.877,3.7900788861842254,0.8699532360602406,-49.3326002626085,-37.38515974910796,73.36221213644909,1.3062785447076883,1.8818898570219948
9,155.8684866,-0.9023998,72.0691,4.9,5098.0,1.333,0.09,,13.4,,452.8,1.164,2.720418291270662,-0.015749847679338326,-65.76278455147587,29.460533749249297,-1.1350304205226514,1.0286796479865916,1.4819670762518105
10,155.8684866,-0.9023998,72.0691,4.9,5098.0,2.08,0.29,,13.9,,883.0,1.164,2.720418291270662,-0.015749847679338326,-65.76278455147587,29.460533749249297,-1.1350304205226514,1.0286796479865916,1.4819670762518105
11,69.3405531,26.8502997,128.484,0.84,3100.0,118.0,,,13.0,1450.0,,-1.164,1.2102209567489608,0.46862613491224575,40.44365463267619,107.26056143007776,58.03120727382231,,
12,15.8992489,-55.2658291,47.2,,,84.0,,,12.3,,,,0.27749424189908667,-0.9645706816394944,25.864332512263235,7.367282355581702,-38.78916671428013,,
13,20.7128012,-24.6646128,33.8281,0.37,3530.0,52.0,,,11.209,1600.0,,-1.72,0.36150657825103255,-0.43047870208953765,28.754832947956864,10.87288836481269,-14.116664986866242,,
14,34.8427046,-39.4230767,40.0896412,0.28,3064.0,156.0,,,16.141,,,-2.23,0.6081199155697739,-0.6880624896812608,25.416464476331527,17.69301216574584,-25.458593550526018,,
15,42.4851627,-5.9599921,66.0613,0.32,2859.0,1950.0,,,12.4,,,-2.59,0.7415059723604839,-0.10402148553785114,48.45372203907569,44.37657819190281,-6.859408591702856,,
16,59.7911026,20.1599759,117.435,0.29,2943.0,572.0,,,12.2,2369.0,,-2.246,1.0435516037677421,0.3518579565777071,55.4678283289817,95.269238483515,40.47309531327895,,
17,70.4371079,23.0308544,120.423987,0.23,2936.0,15.0,,,12.6,,,-2.444,1.2293594484375088,0.4019642388274231,37.10896561926866,104.42805304830671,47.11308790754586,,
18,165.3295388,-77.5440912,,,,266.0,,,11.9,2677.0,,,2.885544802863715,-1.3533997069067607,,,,,
19,178.7691634,-79.3197558,100.862,0.6,3021.0,587.0,,,12.1,2506.0,,-1.568,3.1201105023657405,-1.3843909005878687,-18.688219161797107,0.4015249176595635,-99.1147430320088,,
20,181.8890906,-39.5484399,64.308,0.22,2825.0,55.0,,,12.9,1250.0,,-2.561,3.1745635044282685,-0.690250490282097,-49.56008347843912,-1.634630485912139,-40.946855468822925,,
21,294.6359173,46.0664076,396.332,0.2,29564.0,0.92,0.33,,13.4,,406.0,1.45,5.142366851518721,0.804010487185739,114.62756956149552,-249.9542284868295,285.41628927231596,1.1481209945740989,1.654040222184386
22,321.3662989,-81.6414894,34.1154,0.67,3592.0,7493.0,,,12.4,1616.0,,-1.168,5.608900020753231,-1.4249127962620498,3.8739276795501567,-3.096248307042207,-33.753021315354175,,
23,339.1025931,47.861683,69.5737,0.64,4045.0,230.0,,,12.3,,,-1.021,5.918456751645604,0.8353439538957972,43.608085014673456,-16.650047013057964,51.590799446276975,,
