,pl_name,hostname,ra,dec,sy_dist,st_rad,st_teff,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_rade,pl_eqt,pl_orbper,st_lum,sy_snum,disc_year,ra_rad,dec_rad,X,Y,Z,habitable_zone_inner,habitable_zone_outer,habitable_zone_center_au,habitable_zone_width_au,hz_score,size_score,temp_score,eccentricity_score,habitability_score,snr,habitable
0,11 Com b,11 Com,185.1787793,17.7932516,93.1846,13.76,4874.0,1.178,0.238,,12.2,,323.21,1.978,2,2007,3.2319794036089204,0.3105508250557491,-88.36495785761475,-8.008843366098171,28.475644468901386,1.3409630189463906,1.931858036113967,1.6364105275301788,0.2954475085837882,0.0,5.768329961247925e-28,,0.762,,23387.169196670297,True
1,11 UMi b,11 UMi,229.2745954,71.8239428,125.321,29.79,4213.0,1.53,0.08,,12.3,,516.21997,2.43,1,2009,4.0015965809078455,1.253564283624075,-25.505211604415894,-29.625963254448497,119.06779381201297,1.4863010829205867,2.141239281438989,1.813770182179788,0.3274690992592012,0.13344439880974612,1.8727025544562063e-28,,0.92,,36519.150314266844,True
2,14 And b,14 And,352.82415,39.2358367,75.4392,11.55,4888.0,0.775,0.0,,13.1,,186.76,1.84,1,2008,6.1579430980503505,0.6847945351898267,57.97369156207769,-7.298956031050023,47.71634126965185,1.2933395813657265,1.8632493427363788,1.5782944620510526,0.28495488068532615,0.0,1.6123987480502325e-32,,1.0,,66974.42693358091,True
3,14 Her b,14 Her,242.6021014,43.8163621,17.9323,0.93,5338.0,2.774,0.373,144.652,12.6,,1765.0389,-0.153,1,2002,4.234205441687145,0.7647397848910569,-5.954230683777855,-11.487906661216746,12.415414644607335,,,,,,6.0348608059710055e-30,,0.627,,554.9094006743535,True
4,16 Cyg B b,16 Cyg B,295.4656422,50.5168243,21.1397,1.13,5750.0,1.66,0.68,,13.5,,798.5,0.097,3,1996,5.156848282909502,0.8816849116864798,5.779530077610701,-12.135759682119696,16.31585992553967,0.2969542358374741,0.42780704520207274,0.3623806405197734,0.06542640468229932,0.0,1.1769109439216723e-34,,0.31999999999999995,,1889.7772143633968,True
5,17 Sco b,17 Sco,243.4620874,-11.8377905,124.953,25.92,4157.0,1.45,0.06,,12.9,,578.38,2.254,1,2020,4.249215028908201,-0.2066084203863058,-54.640409763216894,-109.410346445,-25.633063037663355,1.4314646028075262,2.062239120150533,1.7468518614790296,0.3153872586715034,0.0587702790231599,1.777375579568326e-31,,0.94,,34058.07012668329,True
6,18 Del b,18 Del,314.6078375,10.8391378,76.222,8.8,4980.0,2.476,0.024,,12.5,,982.85,1.634,2,2008,5.490942616954286,0.1891786426873746,52.57196068038417,-53.2965921462026,14.333718980832383,1.2187922486849616,1.7558527466517595,1.4873224976683606,0.26853024898339894,0.0,1.915478951967148e-29,,0.976,,3397.217944545021,True
7,1RXS J160929.1-210524 b,1RXS J160929.1-210524,242.3762343,-21.0831403,139.135,1.31,4060.0,330.0,,,18.647,1700.0,,-0.37,1,2008,4.2302633171202135,-0.36797021489490506,-60.19337357234731,-115.02307500970463,-50.04995722567302,,,,,,2.3809077525382967e-68,0.0,,,0.0028304785528506875,False
8,24 Boo b,24 Boo,217.1555242,49.8446488,95.9863,12.19,4816.0,0.194,0.032,,13.9,,30.33,1.877,1,2018,3.7900788861842254,0.8699532360602406,-49.3326002626085,-37.38515974910796,73.36221213644909,1.3062785447076883,1.8818898570219948,1.5940842008648417,0.28780565615715326,0.0,7.320278991059906e-37,,0.968,,827970.8547512182,True
9,24 Sex b,24 Sex,155.8684866,-0.9023998,72.0691,4.9,5098.0,1.333,0.09,,13.4,,452.8,1.164,1,2010,2.720418291270662,-0.015749847679338326,-65.76278455147587,29.460533749249297,-1.1350304205226514,1.0286796479865916,1.4819670762518105,1.255323362119201,0.22664371413260942,0.6572742457117065,4.0873349728658875e-34,,0.91,,4671.359172739684,True
